,column_name,missing_count,filling_factor
0,A,5518859,0.0
1,Unnamed: 64,5518859,0.0
2,TOTAL_ADD_GTIME,5485051,0.61259039232566
3,FIRST_DEP_TIME,5485051,0.61259039232566
4,LONGEST_ADD_GTIME,5485051,0.61259039232566
5,CANCELLATION_CODE,5453640,1.1817478939034318
6,SECURITY_DELAY,4568714,17.216330404527458
7,LATE_AIRCRAFT_DELAY,4568714,17.216330404527458
8,CARRIER_DELAY,4568714,17.216330404527458
9,WEATHER_DELAY,4568714,17.216330404527458
10,NAS_DELAY,4568714,17.216330404527458
11,ARR_DELAY_NEW,78711,98.57378128341384
12,ARR_DELAY_GROUP,78711,98.57378128341384
13,ARR_DELAY,78711,98.57378128341384
14,ARR_DEL15,78711,98.57378128341384
15,AIR_TIME,78711,98.57378128341384
16,ACTUAL_ELAPSED_TIME,78711,98.57378128341384
17,ARR_TIME,67192,98.78250196281513
18,TAXI_IN,67191,98.78252008250256
19,WHEELS_ON,67191,98.78252008250256
20,WHEELS_OFF,64779,98.82622476856177
21,TAXI_OUT,64779,98.82622476856177
22,DEP_DEL15,62842,98.86132260309604
23,DEP_DELAY_GROUP,62842,98.86132260309604
24,DEP_DELAY,62841,98.86134072278347
25,DEP_DELAY_NEW,62841,98.86134072278347
26,DEP_TIME,62840,98.86135884247088
27,TAIL_NUM,12728,99.76937261850684
28,CRS_ELAPSED_TIME,9,99.99983692281322
29,DIVERTED,3,99.99994564093774
30,ARR_TIME_BLK,3,99.99994564093774
31,CANCELLED,3,99.99994564093774
32,CRS_ARR_TIME,3,99.99994564093774
33,FLIGHTS,3,99.99994564093774
34,DISTANCE,3,99.99994564093774
35,DISTANCE_GROUP,3,99.99994564093774
36,DEP_TIME_BLK,2,99.99996376062515
37,DEST_STATE_ABR,1,99.99998188031259
38,DEST,1,99.99998188031259
39,ORIGIN_WAC,0,100.0
40,UNIQUE_CARRIER,0,100.0
41,ORIGIN_STATE_NM,0,100.0
42,ORIGIN_STATE_FIPS,0,100.0
43,QUARTER,0,100.0
44,ORIGIN_STATE_ABR,0,100.0
45,ORIGIN_CITY_NAME,0,100.0
46,ORIGIN_CITY_MARKET_ID,0,100.0
47,DEST_STATE_NM,0,100.0
48,ORIGIN_AIRPORT_ID,0,100.0
49,AIRLINE_ID,0,100.0
50,CARRIER,0,100.0
51,CRS_DEP_TIME,0,100.0
52,DAY_OF_MONTH,0,100.0
53,DAY_OF_WEEK,0,100.0
54,DEST_AIRPORT_ID,0,100.0
55,DEST_AIRPORT_SEQ_ID,0,100.0
56,DEST_CITY_MARKET_ID,0,100.0
57,DEST_CITY_NAME,0,100.0
58,DEST_STATE_FIPS,0,100.0
59,DEST_WAC,0,100.0
60,FL_DATE,0,100.0
61,FL_NUM,0,100.0
62,MONTH,0,100.0
63,ORIGIN,0,100.0
64,ORIGIN_AIRPORT_SEQ_ID,0,100.0
65,YEAR,0,100.0
